"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-7703075","Source1","3",2019-04-03 14:38:20,2019-04-03 15:05:17,47.240598,-122.401269,47.241019,-122.400182,0.059,"At before WA-167/Exit 135 - Accident.","I-5 S","Tacoma","Pierce","WA","98404","US","US/Pacific","KTCM",2019-04-03 14:58:00,57,57,72,29.58,10,"SW",17,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7658703","Source1","3",2017-11-10 23:16:38,2017-11-11 05:16:38,44.95965,-93.20469,44.95475,-93.18867,0.853,"Between MN-280/Exit 236 and Cretin Ave/Vandalia St/Exit 237 - Accident.","MN-280 N","Saint Paul","Ramsey","MN","55104","US","US/Central","KSTP",2017-11-10 23:08:00,25,14.2,75,30.28,4,"SSE",11.5,0,"Light Snow",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7041163","Source1","3",2020-05-20 17:30:27,2020-05-20 17:45:27,30.59027,-88.15754,30.62567,-88.12098,3.272,"Between US-90/AL-16/Government Blvd/Exit 15 and I-65/Exit 20 - Accident. Left lane blocked.","I-10 E","Mobile","Mobile","AL","36619","US","US/Central","KMOB",2020-05-20 17:38:00,71,71,81,29.63,7,"CALM",0,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7128600","Source1","3",2020-03-21 17:41:13,2020-03-21 17:56:13,33.9382,-117.1274,33.9382,-117.1274,0,"At Gilman Springs Rd - Accident. Right lane blocked. Obstruction on roadway {something that does block the road or part of it}.","CA-60 W","Moreno Valley","Riverside","CA","92555","US","US/Pacific","KRIV",2020-03-21 17:58:00,61,61,56,28.44,10,"WNW",8,0,"Fair",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7028655","Source1","3",2020-05-14 13:18:56,2020-05-14 14:08:54,41.93896,-88.10102,41.93896,-88.10102,0,"At CR-36/Schmale Rd - Accident.","W Army Trail Rd","Bloomingdale","DuPage","IL","60108","US","US/Central","KDPA",2020-05-14 13:16:00,62,62,96,29.06,2,"S",8,0.01,"Fog",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7163097","Source1","3",2020-04-07 19:07:27,2020-04-07 19:22:27,33.92189,-118.28151,33.92189,-118.28151,0,"At I-105 - Accident. Right lane blocked.","Harbor Fwy N","Los Angeles","Los Angeles","CA","90061","US","US/Pacific","KHHR",2020-04-07 19:00:00,53,53,86,29.86,2,"W",16,0.01,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7755949","Source1","3",2019-07-08 19:14:17,2019-07-08 23:14:17,45.50682,-122.67098,45.50905,-122.66732,0.235,"At Marquam Bridge - Accident.","I-5 N","Portland","Multnomah","OR","97201","US","US/Pacific","KPDX",2019-07-08 18:53:00,77,77,43,29.91,10,"NW",7,0,"Fair",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7097210","Source1","3",2020-06-18 15:19:39,2020-06-18 15:49:39,42.04022,-87.83076,42.04022,-87.83076,0,"At Greenwood Ave - Accident.","W Dempster St","Niles","Cook","IL","60714","US","US/Central","KORD",2020-06-18 14:51:00,87,87,28,29.29,10,"E",14,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-3428755","Source1","3",2017-01-10 06:55:26,2017-01-10 12:55:32,41.78724,-93.57039,41.88177,-93.57097,6.531,"Between IA-931/1st St/Exit 92 and IA-210/Exit 102 - Accident. Traffic problem.","I-35 S","Elkhart","Polk","IA","50073","US","US/Central","KIKV",2017-01-10 06:55:00,41,36.4,93,29.35,4,"South",6.9,0.03,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Day","Day"
"A-7183585","Source1","3",2020-04-17 21:48:23,2020-04-17 22:03:23,37.78593,-122.39108,37.78593,-122.39108,0,"At Fremont St/Harrison St - Serious accident.","I-80 E","San Francisco","San Francisco","CA","94105","US","US/Pacific","KOAK",2020-04-17 21:53:00,58,58,67,30.01,10,"WSW",8,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7073205","Source1","3",2020-06-08 07:55:43,2020-06-08 08:40:37,40.30296,-104.98074,40.29933,-104.98029,0.252,"At CR-34/Exit 245 - Accident. Left lane blocked.","I-25 S","Johnstown","Weld","CO","80534","US","US/Mountain","KFNL",2020-06-08 07:56:00,57,57,59,24.81,10,"SSE",5,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-3412852","Source1","3",2016-02-16 06:09:59,2016-02-16 12:09:59,40.11184,-83.00883,40.11218,-83.02084,0.635,"At US-23/Exit 23 - Accident.","Outerbelt W","Columbus","Franklin","OH","43235","US","US/Eastern","KOSU",2016-02-16 05:53:00,33.1,26.1,96,29.71,5,"NNW",8.1,0,"Overcast",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Day"
"A-7735293","Source1","3",2019-06-07 22:55:03,2019-06-07 23:24:46,39.780792,-104.992666,39.7797,-104.98582,0.371,"At I-25/US-87/Valley Hwy/Exit 274 - Accident.","I-70 E","Denver","Denver","CO","80216","US","US/Mountain","KBJC",2019-06-07 22:54:00,61,61,59,24.29,10,"NNE",6,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7163407","Source1","3",2020-04-08 07:05:38,2020-04-08 07:35:38,40.98273,-73.74414,40.98273,-73.74414,0,"Ramp to Mamaroneck Ave Southbound - Overturned vehicle.","Mamaroneck Ave","White Plains","Westchester","NY","10605-5217","US","US/Eastern","KHPN",2020-04-08 06:56:00,47,45,93,29.01,2,"ENE",5,0,"Fog",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7100764","Source1","3",2020-06-19 16:35:27,2020-06-19 16:50:27,47.55337,-122.33694,47.55337,-122.33694,0,"At Marginal Way/Michigan St - Accident.","E Marginal Way S","Seattle","King","WA","98134","US","US/Pacific","KBFI",2020-06-19 16:53:00,80,80,35,29.87,10,"VAR",3,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Night"
"A-7745042","Source1","3",2019-06-30 17:49:51,2019-06-30 18:17:36,29.81282,-95.42547,29.81244,-95.432711,0.435,"At Ella Blvd/Exit 14 - Accident. Three lanes blocked.","I-610 W","Houston","Harris","TX","77008","US","US/Central","KMCJ",2019-06-30 17:53:00,87,87,51,29.9,10,"S",10,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7764225","Source1","3",2019-07-25 19:31:05,2019-07-25 19:59:22,34.15709,-118.37935,34.15104,-118.37492,0.489,"At US-101/CA-134 - Accident.","CA-170 S","North Hollywood","Los Angeles","CA","91602","US","US/Pacific","KBUR",2019-07-25 19:53:00,85,85,37,29.08,9,"S",6,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7090916","Source1","3",2020-06-16 07:28:13,2020-06-16 07:43:13,41.31388,-81.51293,41.31388,-81.51293,0,"At OH-82/Exit 19 - Accident.","I-271 N","Macedonia","Summit","OH","44056","US","US/Eastern","KPOV",2020-06-16 07:36:00,59,59,73,29.1,10,"CALM",0,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7644868","Source1","3",2017-12-07 10:19:53,2017-12-07 16:19:53,29.50473,-95.248739,29.498946,-95.2469,0.415,"At Friendswood - Accident.","N Highway 35","Alvin","Brazoria","TX","77511-9622","US","US/Central","KLVJ",2017-12-07 09:53:00,44.1,38.6,93,30.32,7,"NNE",10.4,0.05,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7120473","Source1","3",2020-03-18 17:40:10,2020-03-18 18:40:10,33.76473,-79.01993,33.76484,-79.01993,0.008,"At US-378/US-501 - Accident.","Myrtle Ridge Dr","Conway","Horry","SC","29526-9104","US","US/Eastern","KHYW",2020-03-18 17:55:00,68,68,60,30.29,10,"SE",3,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7745029","Source1","3",2019-06-30 17:55:51,2019-06-30 18:25:30,38.558364,-90.436094,38.552384,-90.430614,0.508,"At I-44/US-50/MO-366/Exit 5 - Accident. Three lanes blocked.","I-270 S","Saint Louis","St. Louis County","MO","63122","US","US/Central","KSTL",2019-06-30 17:51:00,92,92,45,29.39,10,"W",9,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7340190","Source1","3",2019-10-14 09:02:49,2019-10-14 13:02:49,45.8164,-123.23299,45.81071,-123.2314,0.401,"At US-26/Sunset Hwy (North) - Accident. Left lane closed.","Nehalem Hwy S","Vernonia","Columbia","OR","97064-9635","US","US/Pacific","KSPB",2019-10-14 09:11:00,41,41,100,30.06,3,"CALM",0,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7198604","Source1","3",2020-04-26 07:53:30,2020-04-26 09:08:30,38.54676,-77.34494,38.52242,-77.37061,2.18,"Between VA-234/Exit 152 and Russell Rd/Exit 148 - Accident. Right lane blocked.","I-95 S","Triangle","Prince William","VA","22172","US","US/Eastern","KNYG",2020-04-26 07:56:00,52,52,93,29.81,6,"NNE",8,0.04,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7736902","Source1","3",2019-06-11 15:28:52,2019-06-11 15:58:27,39.885439,-104.98767,39.88277,-104.98768,0.184,"At 104th Ave/Exit 221 - Accident.","E 104th Ave","Denver","Adams","CO","80233","US","US/Mountain","KBJC",2019-06-11 15:45:00,75,75,25,24.53,30,"NNE",12,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7205309","Source1","3",2020-04-29 12:31:10,2020-04-29 13:01:10,32.72961,-97.22502,32.72961,-97.22502,0,"At TX-180/Lancaster Ave/Exit 30 - Accident. Hard shoulder blocked.","E Loop 820","Fort Worth","Tarrant","TX","76112","US","US/Central","KFWD",2020-04-29 12:53:00,75,75,26,29.35,10,"NW",20,0,"Fair",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-6996014","Source1","3",2020-06-02 08:42:27,2020-06-02 09:42:27,33.83976,-79.11295,33.83976,-79.11295,0,"At US-501 - Accident.","Highway 378","Conway","Horry","SC","29527-4939","US","US/Eastern","KHYW",2020-06-02 08:35:00,72,72,69,30.2,10,"SSE",3,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7591302","Source1","3",2018-04-08 01:15:50,2018-04-08 07:15:50,34.033651,-81.119038,34.0296,-81.12388,0.394,"At Bush River Road/Exit 63 - Accident.","I-20 E","Columbia","Lexington","SC","29210","US","US/Eastern","KCAE",2018-04-08 01:24:00,44.1,40.1,96,29.85,8,"NNE",6.9,0.02,"Light Rain",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7020071","Source1","3",2020-05-10 01:39:06,2020-05-10 02:09:06,42.50107,-83.1163,42.50107,-83.1163,0,"At 12 Mile Rd/Exit 63 - Accident. Right lane blocked.","Chrysler Expy N","Madison Heights","Oakland","MI","48071","US","US/Eastern","KVLL",2020-05-10 01:36:00,45,41,37,29.3,10,"SW",7,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7102541","Source1","3",2020-06-20 11:23:09,2020-06-20 11:38:09,39.7141,-105.00064,39.72189,-105.00913,0.702,"At US-6/6th Ave/Exit 209 - Accident. on the right.","US-87 N","Denver","Denver","CO","80223","US","US/Mountain","KAPA",2020-06-20 11:53:00,78,78,13,24.22,10,"W",7,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7406223","Source1","3",2019-09-03 04:56:37,2019-09-03 05:22:13,33.79263,-118.22471,33.791291,-118.224871,0.093,"At CA-1/Pacific Coast Hwy - Accident. Lane blocked.","Terminal Island Fwy S","Long Beach","Los Angeles","CA","90810","US","US/Pacific","KLGB",2019-09-03 04:53:00,74,74,79,29.84,10,"CALM",0,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-6978209","Source1","3",2020-05-24 23:38:35,2020-05-24 23:53:35,41.86597,-87.64468,41.8511,-87.64519,1.028,"Between Roosevelt Rd and Canalport Ave/Cermak Rd/Exit 53 - Accident.","I-90 E","Chicago","Cook","IL","60607","US","US/Central","KMDW",2020-05-24 23:53:00,75,75,73,29.24,10,"SSE",5,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7278316","Source1","3",2020-02-28 16:01:38,2020-02-28 16:31:11,42.46631,-88.06242,42.46631,-88.06242,0,"At Deep Lake Rd - Accident.","N Deep Lake Rd","Antioch","Lake","IL","60002","US","US/Central","KENW",2020-02-28 15:53:00,29,17,40,29.22,10,"WNW",17,0,"Fair",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7178471","Source1","3",2020-04-15 07:35:03,2020-04-15 07:50:03,41.59457,-88.16314,41.58117,-88.17202,1.033,"At US-30/Exit 257 - Accident.","I-55 S","Plainfield","Will","IL","60544","US","US/Central","KJOT",2020-04-15 07:35:00,29,24,92,29.41,0.75,"N",5,0,"Light Snow",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7077626","Source1","3",2020-06-10 16:59:14,2020-06-10 17:14:14,35.26395,-80.84214,35.26665,-80.84414,0.218,"At I-85/Statesville Ave/Exit 13 - Serious accident. on the right.","I-77 N","Charlotte","Mecklenburg","NC","28206","US","US/Eastern","KCLT",2020-06-10 16:52:00,89,89,50,29.16,10,"SW",15,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7014976","Source1","3",2020-05-07 14:09:55,2020-05-07 14:44:53,39.72177,-105.00899,39.72177,-105.00899,0,"At US-6/6th Ave/Exit 209 - Accident. Hard shoulder blocked.","I-25 N","Denver","Denver","CO","80204","US","US/Mountain","KBJC",2020-05-07 13:45:00,70,70,17,24.29,40,"E",14,0,"Fair",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7194615","Source1","3",2020-04-24 14:30:19,2020-04-24 15:30:19,43.20046,-77.63875,43.20046,-77.63875,0,"At CR-150/Mt Read Blvd - Accident.","Dewey Ave","Rochester","Monroe","NY","14615-2907","US","US/Eastern","KROC",2020-04-24 14:54:00,43,36,51,29.23,10,"NE",14,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7415752","Source1","3",2019-09-11 17:43:56,2019-09-11 18:13:17,33.89881,-117.47617,33.89749,-117.49003,0.8,"Between Tyler St and Magnolia Ave (Riverside) - Accident.","Riverside Fwy E","Riverside","Riverside","CA","92503","US","US/Pacific","KRAL",2019-09-11 17:53:00,81,81,44,29.03,10,"W",13,0,"Partly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7006163","Source1","3",2020-05-01 15:23:51,2020-05-01 15:53:51,37.56914,-77.52265,37.56798,-77.53599,0.735,"Between Libbie Ave and River Rd - Accident.","River Rd","Richmond","Richmond City","VA","23226","US","US/Eastern","KOFP",2020-05-01 14:54:00,61,61,58,29.6,10,"W",10,0,"Mostly Cloudy",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7131127","Source1","3",2020-03-23 22:38:06,2020-03-23 23:38:06,40.74058,-73.89903,40.74058,-73.89903,0,"At Queens Blvd/Exit 36B - Accident. Two lanes blocked.","Queens Blvd","Woodside","Queens","NY","11377","US","US/Eastern","KLGA",2020-03-23 22:51:00,39,32,79,29.95,10,"N",12,0,"Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7130990","Source1","3",2020-03-23 17:30:57,2020-03-23 18:15:57,40.69903,-73.50951,40.69903,-73.50951,0,"At Wantagh Ave/Exit 28 - Accident. Left lane blocked.","Southern State Pkwy E","Wantagh","Nassau","NY","11793","US","US/Eastern","KFRG",2020-03-23 17:18:00,44,38,82,29.94,2,"ENE",12,0.16,"Heavy Rain",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
"A-7722430","Source1","3",2019-05-14 02:19:14,2019-05-14 02:48:39,42.36478,-83.43639,42.3542,-83.43689,0.731,"At Ann Arbor Rd/Exit 28 - Accident.","I-275 S","Plymouth","Wayne","MI","48170","US","US/Eastern","KYIP",2019-05-14 01:53:00,42,38,79,29.18,10,"WNW",6,0,"Fair",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Night","Night","Night","Night"
"A-7028694","Source1","3",2020-05-14 15:35:24,2020-05-14 16:05:24,43.06793,-87.94801,43.06793,-87.94801,0,"At W Center St - Serious accident.","W Fond du Lac Ave","Milwaukee","Milwaukee","WI","53210-2625","US","US/Central","KMWC",2020-05-14 15:45:00,64,64,73,29.04,10,"SW",7,0,"Cloudy",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Day","Day","Day","Day"
"A-7744695","Source1","3",2019-06-29 14:16:53,2019-06-29 14:44:33,40.666999,-73.739251,40.67134,-73.7361,0.342,"Between RT-27/Exit 23 and Merrick Blvd/Exit 24 - Accident.","Laurelton Pkwy E","Rosedale","Queens","NY","11422","US","US/Eastern","KJFK",2019-06-29 13:51:00,86,86,63,29.94,10,"SSW",14,0,"Mostly Cloudy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Day","Day","Day","Day"
